
62.0;90.0;[70];[231.00195401111438];[-190.99868293195348]

48.0;90.0;[70];[-68.27964557337341];[58.67600867100066]

48.0;90.0;[70];[-68.27964557337341];[58.67600867100066]

48.0;90.0;[70];[-68.27964557337341];[58.67600867100066]

48.0;90.0;[70];[-68.27964557337341];[58.67600867100066]

48.0;90.0;[70];[-68.27964557337341];[58.67600867100066]

48.0;90.0;[70];[-68.27964557337341];[58.67600867100066]

48.0;72.0;[70];[-58.29073583162396];[176.43029005417287]

48.0;72.0;[70];[-58.29073583162396];[176.43029005417287]

48.0;72.0;[70];[-58.29073583162396];[176.43029005417287]

48.0;72.0;[70];[-58.29073583162396];[176.43029005417287]

48.0;72.0;[70];[-58.29073583162396];[176.43029005417287]

48.0;72.0;[70];[-58.29073583162396];[176.43029005417287]

48.0;68.0;[70];[-68.3186508193216];[-58.452504668301316]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

48.0;65.66666666666667;[70];[-60.02593299198968];[152.7045811007498]

52.0;65.66666666666667;[70];[-44.21277465180821];[-144.44714764594607]

60.0;66.33333333333333;[70];[96.03893834726657];[83.12396836833977]

60.0;67.0;[70];[-151.2568688823352];[-53.89085150906925]

60.0;67.0;[70];[-151.2568688823352];[-53.89085150906925]

60.0;67.66666666666667;[70];[-79.0407319586568];[-24.274135289945093]

60.0;67.66666666666667;[70];[-79.0407319586568];[-24.274135289945093]

60.0;68.0;[70];[-63.70685165844338];[-21.625934293027186]

60.0;68.0;[70];[-63.70685165844338];[-21.625934293027186]

60.0;68.0;[70];[-63.70685165844338];[-21.625934293027186]

60.0;68.0;[70];[-63.70685165844338];[-21.625934293027186]

60.0;68.66666666666667;[70];[-34.633724740016426];[-24.3523807913876]

60.0;68.66666666666667;[70];[-34.633724740016426];[-24.3523807913876]

60.0;68.66666666666667;[70];[-34.633724740016426];[-24.3523807913876]

60.0;68.66666666666667;[70];[-34.633724740016426];[-24.3523807913876]

60.0;69.33333333333333;[70];[38.820060056650995];[-54.63831695998618]

60.0;69.33333333333333;[70];[38.820060056650995];[-54.63831695998618]

60.0;70.0;[70];[-206.46928219036513];[81.32160218841763]

60.0;70.0;[70];[-206.46928219036513];[81.32160218841763]

60.0;70.0;[70];[-206.46928219036513];[81.32160218841763]

60.0;70.0;[70];[-206.46928219036513];[81.32160218841763]

60.0;70.0;[70];[-206.46928219036513];[81.32160218841763]

60.0;70.0;[70];[-206.46928219036513];[81.32160218841763]

60.0;70.66666666666667;[70];[-87.167626631995];[26.574500182258195]

60.0;70.66666666666667;[70];[-87.167626631995];[26.574500182258195]

60.0;70.66666666666667;[70];[-87.167626631995];[26.574500182258195]

60.0;70.66666666666667;[70];[-87.167626631995];[26.574500182258195]

60.0;70.66666666666667;[70];[-87.167626631995];[26.574500182258195]

60.0;70.66666666666667;[70];[-87.167626631995];[26.574500182258195]

