
90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.625;[70];[6.411660864887977];[-67.37138818050985]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;78.125;[70];[-44.24687896246569];[-98.14991882930383]

90.0;77.6875;[70];[-209.81883079365213];[-249.1705064208324]

90.0;77.6875;[70];[-209.81883079365213];[-249.1705064208324]

60.375;77.6875;[70];[-59.22623701874021];[49.75895481874764]

60.375;77.6875;[70];[-59.22623701874021];[49.75895481874764]

60.375;77.6875;[70];[-59.22623701874021];[49.75895481874764]

60.375;77.6875;[70];[-59.22623701874021];[49.75895481874764]

60.375;77.6875;[70];[-59.22623701874021];[49.75895481874764]

60.375;77.6875;[70];[-59.22623701874021];[49.75895481874764]

60.375;77.25;[70];[-67.29971770371954];[44.302501266010374]

60.375;77.25;[70];[-67.29971770371954];[44.302501266010374]

58.125;77.25;[70];[112.2109513382353];[116.78922023759267]

58.125;77.25;[70];[112.2109513382353];[116.78922023759267]

58.125;77.25;[70];[112.2109513382353];[116.78922023759267]

58.125;77.25;[70];[112.2109513382353];[116.78922023759267]

58.125;77.25;[70];[112.2109513382353];[116.78922023759267]

58.125;77.25;[70];[112.2109513382353];[116.78922023759267]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.8125;[70];[78.39015333095541];[79.35905873174939]

58.125;76.375;[70];[58.09067464068618];[70.09770399136846]

58.125;76.375;[70];[58.09067464068618];[70.09770399136846]

57.375;76.375;[70];[75.64742091417075];[67.13546045929871]

57.0;76.375;[70];[121.24297572171129];[63.81329700776933]

57.0;76.375;[70];[121.24297572171129];[63.81329700776933]

57.0;76.375;[70];[121.24297572171129];[63.81329700776933]

57.0;76.375;[70];[121.24297572171129];[63.81329700776933]

56.25;76.0;[70];[-67.62409761793623];[35.14914986416845]

56.25;76.0;[70];[-67.62409761793623];[35.14914986416845]

56.25;76.0;[70];[-67.62409761793623];[35.14914986416845]

56.25;76.0;[70];[-67.62409761793623];[35.14914986416845]

56.25;76.0;[70];[-67.62409761793623];[35.14914986416845]

55.875;76.0;[70];[-47.05965074726075];[51.86023898157872]

55.875;76.0;[70];[-47.05965074726075];[51.86023898157872]

55.875;76.0;[70];[-47.05965074726075];[51.86023898157872]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.5;76.0;[70];[-40.39057562209366];[61.841451781456136]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

55.125;76.0;[70];[-40.280585491274906];[70.3848448816583]

54.75;76.0;[70];[-46.6351677333855];[80.24909078812759]

54.75;76.0;[70];[-46.6351677333855];[80.24909078812759]

54.75;76.0;[70];[-46.6351677333855];[80.24909078812759]

54.75;76.0;[70];[-46.6351677333855];[80.24909078812759]

54.75;76.0;[70];[-46.6351677333855];[80.24909078812759]

54.75;76.0;[70];[-46.6351677333855];[80.24909078812759]

54.75;76.0;[70];[-46.6351677333855];[80.24909078812759]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0;[70];[-66.31309417909638];[96.4883946568152]

54.375;76.0625;[70];[-66.75102264834695];[89.18812791901453]

54.375;76.0625;[70];[-66.75102264834695];[89.18812791901453]

54.0;76.0625;[70];[-133.96383469580232];[121.42546618305028]

54.0;76.0625;[70];[-133.96383469580232];[121.42546618305028]

54.0;76.0625;[70];[-133.96383469580232];[121.42546618305028]

54.0;76.0625;[70];[-133.96383469580232];[121.42546618305028]

54.0;76.0625;[70];[-133.96383469580232];[121.42546618305028]

54.0;76.0625;[70];[-133.96383469580232];[121.42546618305028]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.125;[70];[-122.19718749237485];[102.76321019694099]

54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

