
87.75;109.625;[70];[22.83788424561194];[-14.97587501179677]

77.375;111.8125;[70];[285.70587954482806];[-273.5928227437169]

70.0;102.4375;[70];[69.00227684051946];[56.558012918197626]

81.25;89.5;[70];[402.30245690086724];[-168.32862538072362]

95.25;82.9375;[70];[68.55491628101804];[60.75278795872693]

101.25;79.1875;[70];[99.68426153910096];[-108.82395408611394]

100.125;77.0;[70];[265.5816101334033];[-104.92997032744051]

98.0;76.5;[70];[-88.5007072253111];[56.8879333819526]

96.25;76.125;[70];[47.759082558978896];[65.29018317392551]

90.875;76.0;[70];[74.76548559414792];[30.26146156572514]

86.375;75.625;[70];[-20.95725131570378];[93.19416931710998]

84.125;74.875;[70];[-41.80603983087289];[53.77141601888274]

84.0;74.0625;[70];[-1269.5115517009012];[957.1167563973694]

85.375;73.9375;[70];[-72.1351643786515];[-38.05726448475365]

87.5;74.0625;[70];[169.97712222129212];[78.3138047478554]

89.125;75.0625;[70];[221.01067933846633];[-615.1388825885901]

87.875;75.5;[70];[-8.959464186818229];[7.8901371188703395]

85.375;75.6875;[70];[227.34754622098114];[-417.9320323965202]

85.0;76.0625;[70];[491.3342924657336];[-140.33003237434147]

85.75;76.875;[70];[-70.01483218904131];[56.247817916825]

85.125;76.0;[70];[1557.6044848570966];[-818.3537371903782]

84.375;74.6875;[70];[-52.53686387318328];[34.88313525776238]

84.0;74.125;[70];[-577.4868921602866];[442.8715579905242]

84.0;73.0625;[70];[62.247068818683275];[-63.26154986228925]

84.0;73.1875;[70];[76.70026020552974];[-70.10739879902629]

84.0;74.1875;[70];[-368.6609609718826];[288.8203406557585]

84.0;76.125;[70];[54.404082078675415];[60.03116559233841]

84.0;78.375;[70];[-12.209554602694551];[-54.561247190238106]

83.875;78.5625;[70];[1.6538491490188119];[-59.22574231623097]

83.0;78.625;[70];[13.03366319131457];[-148.34550508189048]

82.25;78.75;[70];[-97.4448787404694];[251.48032664446708]

82.0;78.9375;[70];[-128.2770555541727];[103.748375112216]

82.0;78.875;[70];[-84.66234801870517];[80.61796490103654]

82.0;78.0625;[70];[36.30883489225092];[24.756298173696017]

82.0;77.25;[70];[71.08221073323614];[23.17377350193047]

82.0;77.5;[70];[60.55375467050966];[21.99574580952339]

82.0;78.875;[70];[-84.66234801870517];[80.61796490103654]

82.0;79.75;[70];[116.07381608641842];[-38.856904249092565]

82.0;78.125;[70];[32.99807831305751];[25.64612269382855]

82.375;75.3125;[70];[18.975236912535927];[-141.68533158140056]

83.25;72.8125;[70];[39.70498695036744];[-75.24402521805007]

84.625;72.1875;[70];[-5.195296693295997];[-14.794852717019722]

85.25;71.5625;[70];[-48.114027578404844];[31.14806181954555]

85.75;71.125;[70];[-69.92723453950295];[61.79306654878454]

85.25;70.8125;[70];[-74.64140211573479];[31.16167658322558]

85.125;70.125;[70];[-158.72127011021522];[55.748259450794166]

84.625;69.6875;[70];[71.98869391854734];[26.141501526168916]

84.25;69.9375;[70];[81.60541751722786];[60.373275913047664]

